question_id,question_order,model_id,model_label,answer_count,elapsed_seconds,cost_cents,input_tokens,output_tokens,prompt_preview,seconds_per_answer,cost_per_answer_cents
376de8d7-fb33-4f62-be5a-b9044492c283,9,deepseek-v4-flash,DeepSeek V4 Flash,122,139.0,4,254505,16689,"Given a disk with 150 tracks (0-149), head at track 80 moving towards increasing numbers. Requests are in tracks of 20, ",1.139344262295082,0.03278688524590164
376de8d7-fb33-4f62-be5a-b9044492c283,9,deepseek-v4-pro,DeepSeek V4 Pro,122,213.0,30,663106,9690,"Given a disk with 150 tracks (0-149), head at track 80 moving towards increasing numbers. Requests are in tracks of 20, ",1.7459016393442623,0.2459016393442623
bcfce196-f980-45ec-9dfb-16ca53c1c6bf,10,deepseek-v4-flash,DeepSeek V4 Flash,123,197.0,8,520209,21959,"List three attributes that are shared among threads in the same process, and three that are not shared.",1.6016260162601625,0.06504065040650407
bcfce196-f980-45ec-9dfb-16ca53c1c6bf,10,deepseek-v4-pro,DeepSeek V4 Pro,123,303.0,34,734302,14909,"List three attributes that are shared among threads in the same process, and three that are not shared.",2.4634146341463414,0.2764227642276423
4cec7cc1-8e3e-45e3-866e-d800c15fef66,11,deepseek-v4-flash,DeepSeek V4 Flash,123,167.0,6,412058,15499,"Briefly describe the concepts of ""thread,"" ""process,"" and ""program."" How do they relate?",1.3577235772357723,0.04878048780487805
4cec7cc1-8e3e-45e3-866e-d800c15fef66,11,deepseek-v4-pro,DeepSeek V4 Pro,123,371.0,40,866544,17360,"Briefly describe the concepts of ""thread,"" ""process,"" and ""program."" How do they relate?",3.016260162601626,0.3252032520325203
90fd763a-b0e8-4296-986b-e2b18af93a4a,12,deepseek-v4-flash,DeepSeek V4 Flash,122,180.0,9,611810,17726,"In a UNIX inode with 12 direct blocks and 1 single indirect block, assuming a block size of 8KB and address size of 4 by",1.4754098360655739,0.07377049180327869
90fd763a-b0e8-4296-986b-e2b18af93a4a,12,deepseek-v4-pro,DeepSeek V4 Pro,122,257.0,18,390314,11690,"In a UNIX inode with 12 direct blocks and 1 single indirect block, assuming a block size of 8KB and address size of 4 by",2.1065573770491803,0.14754098360655737
7cc6d0c4-5832-45da-887f-502a70a914bf,13,deepseek-v4-flash,DeepSeek V4 Flash,95,114.0,5,342424,13044,List the four necessary conditions that must hold simultaneously for a system-wide deadlock to occur.,1.2,0.05263157894736842
7cc6d0c4-5832-45da-887f-502a70a914bf,13,deepseek-v4-pro,DeepSeek V4 Pro,95,258.0,18,389728,14121,List the four necessary conditions that must hold simultaneously for a system-wide deadlock to occur.,2.7157894736842105,0.18947368421052632
7692d1fe-db5b-4ba5-9e19-21957a3c17d0,14,deepseek-v4-flash,DeepSeek V4 Flash,111,142.0,8,544342,13457,Describe the three requirements that a solution to the Critical Section problem must satisfy to be considered correct.,1.2792792792792793,0.07207207207207207
7692d1fe-db5b-4ba5-9e19-21957a3c17d0,14,deepseek-v4-pro,DeepSeek V4 Pro,111,322.0,28,612621,17410,Describe the three requirements that a solution to the Critical Section problem must satisfy to be considered correct.,2.900900900900901,0.25225225225225223
f2b4ceed-f4b7-4acf-bc91-903cc746807f,15,deepseek-v4-flash,DeepSeek V4 Flash,122,168.0,9,579998,20188,Explain the difference between 'Internal Fragmentation' and 'External Fragmentation'. Which one is typically associated ,1.3770491803278688,0.07377049180327869
f2b4ceed-f4b7-4acf-bc91-903cc746807f,15,deepseek-v4-pro,DeepSeek V4 Pro,122,355.0,30,645575,23024,Explain the difference between 'Internal Fragmentation' and 'External Fragmentation'. Which one is typically associated ,2.9098360655737703,0.2459016393442623
16d62b26-dc46-4ebc-94e2-908dc964b6cf,16,deepseek-v4-flash,DeepSeek V4 Flash,122,150.0,11,774261,17248,Compare the 'Many-to-One' and 'One-to-One' multithreading models. Which one allows better utilization of multi-core proc,1.2295081967213115,0.09016393442622951
16d62b26-dc46-4ebc-94e2-908dc964b6cf,16,deepseek-v4-pro,DeepSeek V4 Pro,122,405.0,35,752277,25644,Compare the 'Many-to-One' and 'One-to-One' multithreading models. Which one allows better utilization of multi-core proc,3.319672131147541,0.28688524590163933
07975ab9-2b1d-40d4-88f0-9cff7a8c8fb8,17,deepseek-v4-flash,DeepSeek V4 Flash,122,123.0,8,535772,15784,"What is the 'Aging' technique in priority scheduling, and what specific problem does it solve?",1.0081967213114753,0.06557377049180328
07975ab9-2b1d-40d4-88f0-9cff7a8c8fb8,17,deepseek-v4-pro,DeepSeek V4 Pro,122,220.0,22,466287,14524,"What is the 'Aging' technique in priority scheduling, and what specific problem does it solve?",1.8032786885245902,0.18032786885245902
cb495b8c-586a-4245-a4c6-a4e19e5abe38,18,deepseek-v4-flash,DeepSeek V4 Flash,119,119.0,6,400450,14239,What is the primary purpose of the 'Translation Lookaside Buffer' (TLB) in a paging system?,1.0,0.05042016806722689
cb495b8c-586a-4245-a4c6-a4e19e5abe38,18,deepseek-v4-pro,DeepSeek V4 Pro,119,240.0,19,400458,14387,What is the primary purpose of the 'Translation Lookaside Buffer' (TLB) in a paging system?,2.0168067226890756,0.15966386554621848
5e40582c-f1e1-45b7-be7c-9e9a2da03c95,19,deepseek-v4-flash,DeepSeek V4 Flash,122,109.0,3,201516,15581,What is “local replacement” and “global replacement”?,0.8934426229508197,0.02459016393442623
5e40582c-f1e1-45b7-be7c-9e9a2da03c95,19,deepseek-v4-pro,DeepSeek V4 Pro,122,274.0,19,402475,17378,What is “local replacement” and “global replacement”?,2.2459016393442623,0.1557377049180328
ff4ab35b-9b76-41a1-a6ee-36bc56d31462,20,deepseek-v4-flash,DeepSeek V4 Flash,121,335.0,10,610527,55353,What are the parameters of Multilevel Feedback Queue Scheduling? (List at least three),2.768595041322314,0.08264462809917356
ff4ab35b-9b76-41a1-a6ee-36bc56d31462,20,deepseek-v4-pro,DeepSeek V4 Pro,121,305.0,30,651950,20047,What are the parameters of Multilevel Feedback Queue Scheduling? (List at least three),2.520661157024793,0.24793388429752067
a838727e-81c8-4834-af4e-f33b520fd1e1,21,deepseek-v4-flash,DeepSeek V4 Flash,123,123.0,6,417273,16430,What is the difference between a mode switch and a context switch?,1.0,0.04878048780487805
a838727e-81c8-4834-af4e-f33b520fd1e1,21,deepseek-v4-pro,DeepSeek V4 Pro,123,271.0,26,558581,16744,What is the difference between a mode switch and a context switch?,2.203252032520325,0.21138211382113822
517790a5-db10-491c-bb92-6bb654e36795,22,deepseek-v4-flash,DeepSeek V4 Flash,123,100.0,9,585850,11431,A system has 32-bit addresses and 2 GB (231) main memory where each page is 1 MB (220). How many entries of a page table,0.8130081300813008,0.07317073170731707
517790a5-db10-491c-bb92-6bb654e36795,22,deepseek-v4-pro,DeepSeek V4 Pro,123,194.0,18,392368,11484,A system has 32-bit addresses and 2 GB (231) main memory where each page is 1 MB (220). How many entries of a page table,1.5772357723577235,0.14634146341463414
1234b7ba-540f-4a21-8d5c-d0a729a315ed,23,deepseek-v4-flash,DeepSeek V4 Flash,123,130.0,8,568376,15957,Please briefly describe the Direct Memory Access (DMA)?,1.056910569105691,0.06504065040650407
1234b7ba-540f-4a21-8d5c-d0a729a315ed,23,deepseek-v4-pro,DeepSeek V4 Pro,123,256.0,23,489137,16704,Please briefly describe the Direct Memory Access (DMA)?,2.0813008130081303,0.18699186991869918
166f2724-ea07-47ba-b33e-15b5365b84b0,24,deepseek-v4-flash,DeepSeek V4 Flash,123,111.0,6,398584,14735,What is the race condition?,0.9024390243902439,0.04878048780487805
166f2724-ea07-47ba-b33e-15b5365b84b0,24,deepseek-v4-pro,DeepSeek V4 Pro,123,280.0,20,430266,17014,What is the race condition?,2.2764227642276422,0.16260162601626016
