subject_id,model_id,ai_score,human_score,diff,abs_diff
S042,deepseek-v4-pro,44.5,45.5,-1.0,1.0
S043,deepseek-v4-flash,43.0,45.0,-2.0,2.0
S043,deepseek-v4-pro,42.0,45.0,-3.0,3.0
S044,deepseek-v4-flash,53.5,57.5,-4.0,4.0
S044,deepseek-v4-pro,50.5,57.5,-7.0,7.0
S045,deepseek-v4-flash,48.0,51.5,-3.5,3.5
S045,deepseek-v4-pro,48.5,51.5,-3.0,3.0
S046,deepseek-v4-flash,40.0,44.0,-4.0,4.0
S046,deepseek-v4-pro,41.5,44.0,-2.5,2.5
S047,deepseek-v4-flash,46.0,51.5,-5.5,5.5
S047,deepseek-v4-pro,44.0,51.5,-7.5,7.5
S048,deepseek-v4-flash,48.5,52.0,-3.5,3.5
S048,deepseek-v4-pro,45.5,52.0,-6.5,6.5
S049,deepseek-v4-flash,51.0,53.0,-2.0,2.0
S049,deepseek-v4-pro,50.0,53.0,-3.0,3.0
S050,deepseek-v4-flash,43.0,49.5,-6.5,6.5
S050,deepseek-v4-pro,43.0,49.5,-6.5,6.5
S051,deepseek-v4-flash,52.5,52.5,0.0,0.0
S051,deepseek-v4-pro,50.0,52.5,-2.5,2.5
S052,deepseek-v4-flash,55.0,57.0,-2.0,2.0
S052,deepseek-v4-pro,54.5,57.0,-2.5,2.5
S053,deepseek-v4-flash,53.0,58.0,-5.0,5.0
S053,deepseek-v4-pro,50.5,58.0,-7.5,7.5
S054,deepseek-v4-flash,43.0,46.0,-3.0,3.0
S054,deepseek-v4-pro,40.0,46.0,-6.0,6.0
S055,deepseek-v4-flash,42.5,50.5,-8.0,8.0
S055,deepseek-v4-pro,44.0,50.5,-6.5,6.5
S056,deepseek-v4-flash,35.5,38.5,-3.0,3.0
S056,deepseek-v4-pro,34.0,38.5,-4.5,4.5
S057,deepseek-v4-flash,30.5,40.0,-9.5,9.5
S057,deepseek-v4-pro,27.5,40.0,-12.5,12.5
S058,deepseek-v4-flash,44.0,43.0,1.0,1.0
S058,deepseek-v4-pro,45.5,43.0,2.5,2.5
S059,deepseek-v4-flash,52.0,53.0,-1.0,1.0
S059,deepseek-v4-pro,51.5,53.0,-1.5,1.5
S060,deepseek-v4-flash,54.0,58.0,-4.0,4.0
S060,deepseek-v4-pro,54.0,58.0,-4.0,4.0
S061,deepseek-v4-flash,39.5,41.0,-1.5,1.5
S061,deepseek-v4-pro,38.5,41.0,-2.5,2.5
S062,deepseek-v4-flash,52.0,58.0,-6.0,6.0
S062,deepseek-v4-pro,54.0,58.0,-4.0,4.0
S063,deepseek-v4-flash,50.5,54.5,-4.0,4.0
S063,deepseek-v4-pro,51.0,54.5,-3.5,3.5
S064,deepseek-v4-flash,35.5,37.0,-1.5,1.5
S064,deepseek-v4-pro,35.5,37.0,-1.5,1.5
S065,deepseek-v4-flash,53.0,56.0,-3.0,3.0
S065,deepseek-v4-pro,51.0,56.0,-5.0,5.0
S066,deepseek-v4-flash,46.5,47.0,-0.5,0.5
S066,deepseek-v4-pro,43.0,47.0,-4.0,4.0
S067,deepseek-v4-flash,50.5,52.5,-2.0,2.0
S067,deepseek-v4-pro,47.5,52.5,-5.0,5.0
S068,deepseek-v4-flash,46.0,47.5,-1.5,1.5
S068,deepseek-v4-pro,43.0,47.5,-4.5,4.5
S069,deepseek-v4-flash,58.0,62.0,-4.0,4.0
S069,deepseek-v4-pro,60.0,62.0,-2.0,2.0
S070,deepseek-v4-flash,52.0,56.0,-4.0,4.0
S070,deepseek-v4-pro,52.0,56.0,-4.0,4.0
S071,deepseek-v4-flash,62.5,63.0,-0.5,0.5
S071,deepseek-v4-pro,58.5,63.0,-4.5,4.5
S072,deepseek-v4-flash,54.0,56.0,-2.0,2.0
S072,deepseek-v4-pro,52.5,56.0,-3.5,3.5
S073,deepseek-v4-flash,38.5,46.0,-7.5,7.5
S073,deepseek-v4-pro,41.5,46.0,-4.5,4.5
S074,deepseek-v4-flash,30.5,42.5,-12.0,12.0
S074,deepseek-v4-pro,28.0,42.5,-14.5,14.5
S075,deepseek-v4-flash,40.0,47.0,-7.0,7.0
S075,deepseek-v4-pro,38.0,47.0,-9.0,9.0
S076,deepseek-v4-flash,45.0,47.0,-2.0,2.0
S076,deepseek-v4-pro,46.5,47.0,-0.5,0.5
S077,deepseek-v4-flash,56.5,56.5,0.0,0.0
S077,deepseek-v4-pro,54.0,56.5,-2.5,2.5
S078,deepseek-v4-flash,30.5,36.0,-5.5,5.5
S078,deepseek-v4-pro,30.0,36.0,-6.0,6.0
S079,deepseek-v4-flash,47.0,47.5,-0.5,0.5
S079,deepseek-v4-pro,43.5,47.5,-4.0,4.0
S080,deepseek-v4-flash,55.5,56.5,-1.0,1.0
S080,deepseek-v4-pro,52.5,56.5,-4.0,4.0
S081,deepseek-v4-flash,14.0,22.0,-8.0,8.0
S081,deepseek-v4-pro,11.5,22.0,-10.5,10.5
S082,deepseek-v4-flash,50.0,54.5,-4.5,4.5
S082,deepseek-v4-pro,51.0,54.5,-3.5,3.5
S083,deepseek-v4-flash,33.5,37.5,-4.0,4.0
S083,deepseek-v4-pro,33.5,37.5,-4.0,4.0
S084,deepseek-v4-flash,52.0,51.5,0.5,0.5
S084,deepseek-v4-pro,50.0,51.5,-1.5,1.5
S085,deepseek-v4-flash,53.0,58.5,-5.5,5.5
S085,deepseek-v4-pro,56.5,58.5,-2.0,2.0
S086,deepseek-v4-flash,48.5,48.0,0.5,0.5
S086,deepseek-v4-pro,45.5,48.0,-2.5,2.5
S087,deepseek-v4-flash,61.0,62.0,-1.0,1.0
S087,deepseek-v4-pro,57.0,62.0,-5.0,5.0
S088,deepseek-v4-flash,49.0,53.5,-4.5,4.5
S088,deepseek-v4-pro,49.5,53.5,-4.0,4.0
S089,deepseek-v4-flash,47.5,50.0,-2.5,2.5
S089,deepseek-v4-pro,43.5,50.0,-6.5,6.5
S090,deepseek-v4-flash,58.0,62.0,-4.0,4.0
S090,deepseek-v4-pro,58.0,62.0,-4.0,4.0
S091,deepseek-v4-flash,32.0,36.0,-4.0,4.0
S091,deepseek-v4-pro,27.5,36.0,-8.5,8.5
S092,deepseek-v4-flash,50.5,55.5,-5.0,5.0
S092,deepseek-v4-pro,48.0,55.5,-7.5,7.5
S093,deepseek-v4-flash,58.5,58.0,0.5,0.5
S093,deepseek-v4-pro,56.5,58.0,-1.5,1.5
S094,deepseek-v4-flash,31.0,35.0,-4.0,4.0
S094,deepseek-v4-pro,29.0,35.0,-6.0,6.0
S095,deepseek-v4-flash,42.0,47.5,-5.5,5.5
S095,deepseek-v4-pro,41.5,47.5,-6.0,6.0
S096,deepseek-v4-flash,53.0,53.5,-0.5,0.5
S096,deepseek-v4-pro,50.5,53.5,-3.0,3.0
S098,deepseek-v4-flash,54.5,56.5,-2.0,2.0
S098,deepseek-v4-pro,48.5,56.5,-8.0,8.0
S099,deepseek-v4-flash,48.5,47.0,1.5,1.5
S099,deepseek-v4-pro,46.5,47.0,-0.5,0.5
S100,deepseek-v4-flash,55.0,55.5,-0.5,0.5
S100,deepseek-v4-pro,52.0,55.5,-3.5,3.5
S101,deepseek-v4-flash,40.0,43.5,-3.5,3.5
S101,deepseek-v4-pro,38.5,43.5,-5.0,5.0
S102,deepseek-v4-flash,46.0,47.5,-1.5,1.5
S102,deepseek-v4-pro,43.0,47.5,-4.5,4.5
S103,deepseek-v4-flash,45.0,51.0,-6.0,6.0
S103,deepseek-v4-pro,46.5,51.0,-4.5,4.5
S104,deepseek-v4-flash,46.0,50.5,-4.5,4.5
S104,deepseek-v4-pro,47.0,50.5,-3.5,3.5
S105,deepseek-v4-flash,47.0,49.0,-2.0,2.0
S105,deepseek-v4-pro,46.0,49.0,-3.0,3.0
S106,deepseek-v4-flash,53.0,55.5,-2.5,2.5
S106,deepseek-v4-pro,51.5,55.5,-4.0,4.0
S107,deepseek-v4-flash,42.0,46.5,-4.5,4.5
S107,deepseek-v4-pro,40.0,46.5,-6.5,6.5
S108,deepseek-v4-flash,59.5,62.0,-2.5,2.5
S108,deepseek-v4-pro,59.0,62.0,-3.0,3.0
S109,deepseek-v4-flash,52.5,57.0,-4.5,4.5
S109,deepseek-v4-pro,50.5,57.0,-6.5,6.5
S110,deepseek-v4-flash,51.0,58.0,-7.0,7.0
S110,deepseek-v4-pro,50.5,58.0,-7.5,7.5
S111,deepseek-v4-flash,41.0,44.5,-3.5,3.5
S111,deepseek-v4-pro,41.0,44.5,-3.5,3.5
S112,deepseek-v4-flash,45.0,43.0,2.0,2.0
S112,deepseek-v4-pro,43.0,43.0,0.0,0.0
S113,deepseek-v4-flash,52.0,55.0,-3.0,3.0
S113,deepseek-v4-pro,49.0,55.0,-6.0,6.0
S114,deepseek-v4-flash,60.0,62.0,-2.0,2.0
S114,deepseek-v4-pro,59.0,62.0,-3.0,3.0
S115,deepseek-v4-flash,46.0,53.0,-7.0,7.0
S115,deepseek-v4-pro,49.5,53.0,-3.5,3.5
S116,deepseek-v4-flash,50.0,54.5,-4.5,4.5
S116,deepseek-v4-pro,47.5,54.5,-7.0,7.0
S117,deepseek-v4-flash,51.0,54.0,-3.0,3.0
S117,deepseek-v4-pro,48.5,54.0,-5.5,5.5
S119,deepseek-v4-flash,45.5,49.0,-3.5,3.5
S119,deepseek-v4-pro,43.5,49.0,-5.5,5.5
S120,deepseek-v4-flash,48.5,53.0,-4.5,4.5
S120,deepseek-v4-pro,49.5,53.0,-3.5,3.5
S121,deepseek-v4-flash,46.0,51.5,-5.5,5.5
S121,deepseek-v4-pro,45.5,51.5,-6.0,6.0
S122,deepseek-v4-flash,24.0,25.0,-1.0,1.0
S122,deepseek-v4-pro,19.0,25.0,-6.0,6.0
S123,deepseek-v4-flash,38.5,43.0,-4.5,4.5
S123,deepseek-v4-pro,40.0,43.0,-3.0,3.0
S124,deepseek-v4-flash,49.5,51.5,-2.0,2.0
S124,deepseek-v4-pro,50.5,51.5,-1.0,1.0
S125,deepseek-v4-flash,37.0,47.5,-10.5,10.5
S125,deepseek-v4-pro,32.5,47.5,-15.0,15.0
S126,deepseek-v4-flash,44.0,47.5,-3.5,3.5
S126,deepseek-v4-pro,46.5,47.5,-1.0,1.0
