"index","exam_answer_id","username","original_score","original_feedback"
"67","11241","S114","3.0","All three correct: same ops; user unaware of location; copies without user knowledge"
"68","12522","S038","2.0","Access: incorrect, hiding access method not identical ops (0); Location: correct (1); Replication: correct (1)"
"69","11526","S047","3.0","All three correct: same ops; no need to know location; data replicas, user unaware"
"70","12197","S044","2.5","Access: correct (1); Location: correct (1); Replication: mentions replication for reliability but not user unawareness (0.5)"
"71","11336","S075","1.0","Access: incorrect (0); Location: partially, don't know where progress runs (0.5); Replication: partially, auto replication (0.5)"
"72","11602","S030","2.5","Access: partially, 'don't care about state' not identical ops (0.5); Location: correct (1); Replication: correct (1)"
"73","11349","S106","3.0","All three correct: identical commands; no need to know location; copies but user unaware"
"74","11538","S019","3.0","All three correct: same ops; no need to know location; multiple copies, user unaware"
"75","11217","S020","3.0","All three correct: identical ops; without knowing location; multiple instances, user/application unaware"
"76","11442","S010","3.0","All three correct: same ops; without knowing actual location; copies without user knowledge"
"77","11521","S091","2.5","Access: correct (1); Location: correct (1); Replication: copy without affecting user, but implicit only (0.5)"
"78","11267","S051","0.5","Access: incorrect (hides which computer, not ops) (0); Location: incorrect (nearest computer) (0); Replication: mentions copies but not unawareness (0.5)"
"79","13513","S039","3.0","All three correct: same ops; without knowing location; unaware of other replicas"
"80","11426","S018","3.0","All three correct: same ops; without knowing location; multiple instances, user unaware"
"81","11389","S049","3.0","All three correct: same ops; no need to know location; multiple copies, user unaware"
"82","11629","S053","3.0","All three correct: consistent access; no need to know location; copies without user knowledge"
"83","11387","S092","3.0","All three correct: identical operations; don't know location; user don't know replication"
"84","11252","S125","0.0","All three incorrect: access only remote ops; location confused with local; replication no user transparency"
"85","13354","S021","1.5","Access: partially, shared resources not identical ops (0.5); Location: correct (1); Replication: not answered (0)"
"86","11625","S050","2.0","Access: confuses with location hiding (0); Location: correct (1); Replication: correct (1)"
"87","11568","S036","2.5","Access: correct (1); Location: correct (1); Replication: mentions copying but not user unawareness (0.5)"
"88","11261","S048","3.0","All three correct with examples: URL for access; Google Drive for location; FB proxy for replication"
"89","11616","S112","3.0","All three correct: access unaffected by distance; location hidden; replicas, user unaware"
"90","11466","S006","0.5","Access: URL as uniform access, partially (0.5); Location: incorrect (can locate) (0); Replication: incorrect (no interference, not transparency) (0)"
"91","11698","S057","0.0","All three incorrect: confuses with remote/local data transfer and repeated transmission"
"92","13753","S002","3.0","All three correct: same method; no need to know location; users unaware of replicas"
"93","11613","S007","3.0","All three correct: same as local; access without knowing location; replication without user noticing"
"94","11498","S118","3.0","All three correct: identical ops; without knowing location; replication without user knowledge"
"95","13060","S016","3.0","All three correct: same ops; access without knowing location; replicas for reliability, user/application unaware"
"96","12276","S083","3.0","All three correct: same ops; no need to know location; multiple copies for reliability, user/application unaware"
"97","11484","S088","2.0","Access: correct (1); Location: correct (1); Replication: left blank (0)"
"98","11941","S058","3.0","All three correct: identical ops; no need to know location; replication hidden from user"
"99","11393","S043","2.0","Access: shared flow, partially correct (0.5); Location: correct (1); Replication: mentions copy but not user unawareness (0.5)"
"100","11386","S060","2.0","Access: correct (1); Location: correct (1); Replication: only mentions bottleneck, not replica/unawareness (0)"
"101","11341","S024","3.0","All three correct: identical ops; without knowing location; user unaware if resource is replica"
"102","11560","S095","2.5","Access: correct (1); Location: correct (1); Replication: mentions consistency of copies, not user unawareness (0.5)"
"103","11633","S077","2.0","Access: correct (1); Location: correct (1); Replication: confuses with concurrency, not transparency (0)"
"104","11416","S120","3.0","All three correct: same access interface; cannot know hardware location; don't know replica count"
"105","11767","S073","2.0","Access: correct (1); Location: correct (1); Replication: not answered (0)"
"106","11561","S069","3.0","All three correct: same ops; no need to know file location; multiple copies for performance, user unaware"
"107","11760","S072","3.0","All three correct: same ops; no need to know physical location; replicas hidden from user/application"
"108","11328","S042","2.5","Access: correct (1); Location: correct (1); Replication: mentions replication but not user unawareness (0.5)"
"109","11716","S071","3.0","All three correct: same data access; no need to know system address; replicas for reliability, seamless failover"
"110","11464","S062","3.0","All three correct: same ops; no need to know actual address; copies without user noticing"
"111","11593","S045","3.0","All three correct: same method; no need to know location; replicas for performance, user unaware"
"112","12263","S056","3.0","All three correct: identical access; hides actual location; hides existence of replicas"
"113","12463","S128","0.0","All three incorrect: bandwidth & data transfer concepts, not transparency definitions"
"114","11486","S029","2.5","Access: correct (1); Location: correct (1); Replication: mentions copying but not user unawareness (0.5)"
"115","11582","S065","3.0","All three correct: same ops; no need to know location; replicas for stability"
"116","11927","S098","2.0","Access: correct (1); Location: correct (1); Replication: not answered (0)"
