subject_id,model_id,ai_score,human_score,diff,abs_diff
S065,deepseek-v4-flash,49.0,51.5,-2.5,2.5
S065,deepseek-v4-pro,49.0,51.5,-2.5,2.5
S066,deepseek-v4-flash,43.0,43.5,-0.5,0.5
S066,deepseek-v4-pro,44.0,43.5,0.5,0.5
S067,deepseek-v4-flash,47.0,51.5,-4.5,4.5
S067,deepseek-v4-pro,46.0,51.5,-5.5,5.5
S068,deepseek-v4-flash,31.0,38.0,-7.0,7.0
S068,deepseek-v4-pro,28.5,38.0,-9.5,9.5
S069,deepseek-v4-flash,50.0,51.5,-1.5,1.5
S069,deepseek-v4-pro,50.0,51.5,-1.5,1.5
S070,deepseek-v4-flash,50.5,50.0,0.5,0.5
S070,deepseek-v4-pro,49.0,50.0,-1.0,1.0
S071,deepseek-v4-flash,48.0,50.0,-2.0,2.0
S071,deepseek-v4-pro,46.0,50.0,-4.0,4.0
S072,deepseek-v4-flash,49.0,52.0,-3.0,3.0
S072,deepseek-v4-pro,49.0,52.0,-3.0,3.0
S073,deepseek-v4-flash,45.0,47.5,-2.5,2.5
S073,deepseek-v4-pro,43.0,47.5,-4.5,4.5
S074,deepseek-v4-flash,36.5,40.5,-4.0,4.0
S074,deepseek-v4-pro,34.0,40.5,-6.5,6.5
S075,deepseek-v4-flash,30.0,38.0,-8.0,8.0
S075,deepseek-v4-pro,28.0,38.0,-10.0,10.0
S076,deepseek-v4-flash,50.0,50.0,0.0,0.0
S076,deepseek-v4-pro,49.0,50.0,-1.0,1.0
S077,deepseek-v4-flash,49.0,50.0,-1.0,1.0
S077,deepseek-v4-pro,45.5,50.0,-4.5,4.5
S078,deepseek-v4-flash,19.5,25.0,-5.5,5.5
S078,deepseek-v4-pro,19.0,25.0,-6.0,6.0
S079,deepseek-v4-flash,40.5,45.5,-5.0,5.0
S079,deepseek-v4-pro,38.0,45.5,-7.5,7.5
S080,deepseek-v4-flash,43.0,47.5,-4.5,4.5
S080,deepseek-v4-pro,41.0,47.5,-6.5,6.5
S081,deepseek-v4-flash,14.5,21.0,-6.5,6.5
S081,deepseek-v4-pro,14.5,21.0,-6.5,6.5
S082,deepseek-v4-flash,46.0,49.0,-3.0,3.0
S082,deepseek-v4-pro,44.0,49.0,-5.0,5.0
S083,deepseek-v4-flash,41.0,47.0,-6.0,6.0
S083,deepseek-v4-pro,43.5,47.0,-3.5,3.5
S084,deepseek-v4-flash,50.0,51.5,-1.5,1.5
S084,deepseek-v4-pro,48.0,51.5,-3.5,3.5
S085,deepseek-v4-flash,48.5,49.0,-0.5,0.5
S085,deepseek-v4-pro,48.0,49.0,-1.0,1.0
S086,deepseek-v4-flash,35.0,38.0,-3.0,3.0
S086,deepseek-v4-pro,35.0,38.0,-3.0,3.0
S087,deepseek-v4-flash,43.0,44.5,-1.5,1.5
S087,deepseek-v4-pro,43.0,44.5,-1.5,1.5
S088,deepseek-v4-flash,46.0,48.0,-2.0,2.0
S088,deepseek-v4-pro,46.0,48.0,-2.0,2.0
S089,deepseek-v4-flash,46.5,49.0,-2.5,2.5
S089,deepseek-v4-pro,45.0,49.0,-4.0,4.0
S090,deepseek-v4-flash,49.0,51.5,-2.5,2.5
S090,deepseek-v4-pro,47.0,51.5,-4.5,4.5
S091,deepseek-v4-flash,35.0,42.0,-7.0,7.0
S091,deepseek-v4-pro,39.0,42.0,-3.0,3.0
S092,deepseek-v4-flash,40.0,49.5,-9.5,9.5
S092,deepseek-v4-pro,41.5,49.5,-8.0,8.0
S093,deepseek-v4-flash,50.5,52.0,-1.5,1.5
S093,deepseek-v4-pro,48.5,52.0,-3.5,3.5
S094,deepseek-v4-flash,41.0,46.0,-5.0,5.0
S094,deepseek-v4-pro,40.0,46.0,-6.0,6.0
S095,deepseek-v4-flash,39.0,46.5,-7.5,7.5
S095,deepseek-v4-pro,33.0,46.5,-13.5,13.5
S097,deepseek-v4-flash,39.0,44.5,-5.5,5.5
S097,deepseek-v4-pro,39.5,44.5,-5.0,5.0
S098,deepseek-v4-flash,43.5,48.0,-4.5,4.5
S098,deepseek-v4-pro,45.0,48.0,-3.0,3.0
S099,deepseek-v4-flash,46.0,48.0,-2.0,2.0
S099,deepseek-v4-pro,45.0,48.0,-3.0,3.0
S100,deepseek-v4-flash,42.5,48.5,-6.0,6.0
S100,deepseek-v4-pro,42.5,48.5,-6.0,6.0
S101,deepseek-v4-flash,48.0,49.5,-1.5,1.5
S101,deepseek-v4-pro,47.0,49.5,-2.5,2.5
S102,deepseek-v4-flash,48.5,51.0,-2.5,2.5
S102,deepseek-v4-pro,48.5,51.0,-2.5,2.5
S103,deepseek-v4-flash,42.5,48.5,-6.0,6.0
S103,deepseek-v4-pro,41.5,48.5,-7.0,7.0
S104,deepseek-v4-flash,50.0,52.0,-2.0,2.0
S104,deepseek-v4-pro,50.0,52.0,-2.0,2.0
S105,deepseek-v4-flash,27.5,33.0,-5.5,5.5
S105,deepseek-v4-pro,23.5,33.0,-9.5,9.5
S106,deepseek-v4-flash,49.0,52.0,-3.0,3.0
S106,deepseek-v4-pro,49.0,52.0,-3.0,3.0
S107,deepseek-v4-flash,46.0,50.0,-4.0,4.0
S107,deepseek-v4-pro,44.5,50.0,-5.5,5.5
S108,deepseek-v4-flash,47.5,48.5,-1.0,1.0
S108,deepseek-v4-pro,43.0,48.5,-5.5,5.5
S109,deepseek-v4-flash,42.5,46.0,-3.5,3.5
S109,deepseek-v4-pro,41.0,46.0,-5.0,5.0
S110,deepseek-v4-flash,45.5,48.5,-3.0,3.0
S110,deepseek-v4-pro,43.5,48.5,-5.0,5.0
S111,deepseek-v4-flash,47.0,50.0,-3.0,3.0
S111,deepseek-v4-pro,46.0,50.0,-4.0,4.0
S112,deepseek-v4-flash,47.0,49.0,-2.0,2.0
S112,deepseek-v4-pro,47.0,49.0,-2.0,2.0
S113,deepseek-v4-flash,51.5,51.0,0.5,0.5
S113,deepseek-v4-pro,50.0,51.0,-1.0,1.0
S114,deepseek-v4-flash,40.0,46.0,-6.0,6.0
S114,deepseek-v4-pro,37.0,46.0,-9.0,9.0
S115,deepseek-v4-flash,43.0,49.5,-6.5,6.5
S115,deepseek-v4-pro,43.0,49.5,-6.5,6.5
S116,deepseek-v4-flash,44.5,48.0,-3.5,3.5
S116,deepseek-v4-pro,42.0,48.0,-6.0,6.0
S117,deepseek-v4-flash,50.0,52.0,-2.0,2.0
S117,deepseek-v4-pro,48.5,52.0,-3.5,3.5
S118,deepseek-v4-flash,30.5,35.0,-4.5,4.5
S118,deepseek-v4-pro,29.0,35.0,-6.0,6.0
S119,deepseek-v4-flash,48.0,50.0,-2.0,2.0
S119,deepseek-v4-pro,45.0,50.0,-5.0,5.0
S120,deepseek-v4-flash,43.5,44.5,-1.0,1.0
S120,deepseek-v4-pro,43.0,44.5,-1.5,1.5
S121,deepseek-v4-flash,45.0,50.5,-5.5,5.5
S121,deepseek-v4-pro,44.0,50.5,-6.5,6.5
S122,deepseek-v4-flash,26.0,32.0,-6.0,6.0
S122,deepseek-v4-pro,27.0,32.0,-5.0,5.0
S123,deepseek-v4-flash,38.5,43.0,-4.5,4.5
S123,deepseek-v4-pro,37.0,43.0,-6.0,6.0
S124,deepseek-v4-flash,46.0,50.0,-4.0,4.0
S124,deepseek-v4-pro,42.5,50.0,-7.5,7.5
S125,deepseek-v4-flash,27.5,30.0,-2.5,2.5
S125,deepseek-v4-pro,27.0,30.0,-3.0,3.0
S126,deepseek-v4-flash,39.0,43.0,-4.0,4.0
S126,deepseek-v4-pro,38.0,43.0,-5.0,5.0
S128,deepseek-v4-flash,0.0,8.0,-8.0,8.0
S128,deepseek-v4-pro,0.5,8.0,-7.5,7.5
