username,model_id,model_label,ai_total,baseline_total,diff,abs_diff
S104,deepseek-v4-pro,DeepSeek V4 Pro,10.0,10.0,0.0,0.0
S105,deepseek-v4-pro,DeepSeek V4 Pro,3.0,4.0,-1.0,1.0
S106,deepseek-v4-pro,DeepSeek V4 Pro,9.5,10.0,-0.5,0.5
S107,deepseek-v4-pro,DeepSeek V4 Pro,9.0,10.0,-1.0,1.0
S108,deepseek-v4-pro,DeepSeek V4 Pro,9.5,10.0,-0.5,0.5
S109,deepseek-v4-pro,DeepSeek V4 Pro,8.5,9.0,-0.5,0.5
S110,deepseek-v4-pro,DeepSeek V4 Pro,8.5,9.0,-0.5,0.5
S111,deepseek-v4-pro,DeepSeek V4 Pro,9.0,9.0,0.0,0.0
S112,deepseek-v4-pro,DeepSeek V4 Pro,10.0,10.0,0.0,0.0
S113,deepseek-v4-pro,DeepSeek V4 Pro,9.0,10.0,-1.0,1.0
S114,deepseek-v4-pro,DeepSeek V4 Pro,7.5,9.0,-1.5,1.5
S115,deepseek-v4-pro,DeepSeek V4 Pro,9.0,10.0,-1.0,1.0
S116,deepseek-v4-pro,DeepSeek V4 Pro,9.5,10.0,-0.5,0.5
S117,deepseek-v4-pro,DeepSeek V4 Pro,9.5,10.0,-0.5,0.5
S118,deepseek-v4-pro,DeepSeek V4 Pro,6.5,7.0,-0.5,0.5
S119,deepseek-v4-pro,DeepSeek V4 Pro,9.0,10.0,-1.0,1.0
S120,deepseek-v4-pro,DeepSeek V4 Pro,8.5,9.0,-0.5,0.5
S121,deepseek-v4-pro,DeepSeek V4 Pro,7.0,10.0,-3.0,3.0
S122,deepseek-v4-pro,DeepSeek V4 Pro,6.0,6.0,0.0,0.0
S123,deepseek-v4-pro,DeepSeek V4 Pro,7.5,7.0,0.5,0.5
S124,deepseek-v4-pro,DeepSeek V4 Pro,8.0,10.0,-2.0,2.0
S125,deepseek-v4-pro,DeepSeek V4 Pro,3.5,5.0,-1.5,1.5
S126,deepseek-v4-pro,DeepSeek V4 Pro,8.0,8.0,0.0,0.0
S128,deepseek-v4-pro,DeepSeek V4 Pro,0.0,2.0,-2.0,2.0
