"index","exam_answer_id","username","answer_text","original_score","original_feedback","score","reason","synced"
"85","3958","158","A technique to transfer data between devices and system memory directly without involving of CPU.","2.00","","2","",""
"86","6460","110","transfer the data between devices without involving the CPU","2.00","","2","",""
"87","3976","207","DMA is a technique used by computer to transfer data between without involving CPU. DMA allows device such as hard drives, sound cards ,and network cards to read/write data directly to/from the main memory.Without using CPU, it can reduce CPU usage and improve system performance.","2.00","","2","",""
"88","3964","149","DMA is a directed data transfer, ","0.00","Direct Memory Access (DMA) is a technique used by computers to transfer data between devices without involving the CPU. DMA allows devices like hard drives, sound cards, and network cards to read or write data directly to or from the main memory, without the need for the CPU to intervene in every transfer, which would waste a significant amount of CPU time. DMA controllers can access the memory independently of the CPU and transfer large amounts of data at high speed, thereby reducing CPU usage and improving system performance.","0","回答不完整，僅 'DMA is a directed data transfer'，未說明 DMA 核心概念",""
"89","4259","117","DMA是一個方法讓device在不受CPU介入的情況下，可以直接對memory去做讀/寫，減少CPU time","2.00","","2","",""
"90","3984","95","The Direct Memory Access is a unit that a process can directly access memory without CPU sceduling. It helps reduce the loading and time for CPU to manage the memory for processes.","2.00","","2","",""
"91","4266","113","DMA allows hardware to access memory without CPU, which decrease the utilization of CPU and save the latency and waiting time of CPU, increase the efficient of the process.","2.00","","2","",""
"92","6262","156","由I/O controller搬運資料，是RAM和CPU之間的橋樑","1.00","Direct Memory Access (DMA) is a technique used by computers to transfer data between devices without involving the CPU. DMA allows devices like hard drives, sound cards, and network cards to read or write data directly to or from the main memory, without the need for the CPU to intervene in every transfer, which would waste a significant amount of CPU time. DMA controllers can access the memory independently of the CPU and transfer large amounts of data at high speed, thereby reducing CPU usage and improving system performance.","1","描述為 RAM 與 CPU 間的橋樑不精確，未正確說明 DMA 讓 device 直接存取記憶體",""
"93","5414","101","directly access to memory rather than using process","1.00","Direct Memory Access (DMA) is a technique used by computers to transfer data between devices without involving the CPU. DMA allows devices like hard drives, sound cards, and network cards to read or write data directly to or from the main memory, without the need for the CPU to intervene in every transfer, which would waste a significant amount of CPU time. DMA controllers can access the memory independently of the CPU and transfer large amounts of data at high speed, thereby reducing CPU usage and improving system performance.","1","提到直接存取但說明模糊，未提及不需 CPU 介入",""
"94","4377","92","是一種I/O技術，讓device可以在沒有CPU逐筆搬運data的情況下，直接在memory和device之間傳輸資料。CPU的工作是設定DMA參數並啟動DMA，之後DMA controller取得bus完成bulk transfer。完成之後會發送interrupt通知CPU，可以降低CPU在I/O的overhead，適合大量資料傳輸","2.00","","2","",""
"95","5384","194","DMA是可以協助I/O的一種device，當要執行I/O時，CPU可以將所需要的內容告訴DMA，而DMA會負責處裡I/O，雖然可能會跟CPU搶bus，但是用DMA相較polling跟interrupt等方式，會更快速","1.50","Direct Memory Access (DMA) is a technique used by computers to transfer data between devices without involving the CPU. DMA allows devices like hard drives, sound cards, and network cards to read or write data directly to or from the main memory, without the need for the CPU to intervene in every transfer, which would waste a significant amount of CPU time. DMA controllers can access the memory independently of the CPU and transfer large amounts of data at high speed, thereby reducing CPU usage and improving system performance.","1.5","描述 DMA 為 device 而非技術/機制，核心概念略偏差但整體方向正確",""
"96","5395","111","A techique of accessing memory without the control from the cpu.","2.00","","2","",""
"97","4297","163","DMA 機制可以使 process 在需要存取記憶體時不需要處理器的資源，可以增加整體的吞吐量。然而這樣的機制需要特別的硬體支援。","2.00","","2","",""
"98","5401","209","DMA means that certain device such as internet  cards can dirrectly access the memory without involving cpu ,since these devices need to frequently interact with memory , if cpu is involved , it will waste a lot of time  . ","2.00","","2","",""
"99","4673","182","DMA是device存取memory的一種方式，device可以不用經過CPU就能存取memory，好處是省下的CPU資源可以拿去執行其他程式用。","2.00","","2","",""
"100","6215","176","the device can access the system memory bus directly without the help from OS or CPU.","2.00","","2","",""
"101","5363","136","DMA可以讓周邊設備和system直接傳輸資料不需要透過CPU，解放CPU節省時間","2.00","","2","",""
"102","5058","102","不用透過CPU，直接傳輸至記憶體","2.00","","2","",""
"103","5885","188","DMA是一種資料的傳輸方式，device可以直接將資料傳送到memory中，不需要cpu傳送資料，傳送完成後再發送interrupt告知cpu。","2.00","","2","",""
"104","5065","202","硬體設備可以不用透過 CPU 直接存取 System Memory。","2.00","","2","",""
"105","5430","123","DMA is technique used by computer to transfer data between device without involving the CPU.","2.00","","2","",""
"106","5071","228","DMA is used to allow network / storage devices to communicate with the memory without the intervention of the CPU. It saves a lot of cpu utilization by using fast bus to write or read data in the memory.","2.00","","2","",""
"107","6547","104","DMA是一種可以讓裝置不須CPU介入就可以在主記憶體間傳輸資料的技術，由於不需要使用CPU,因此讓系統更有效率。","2.00","","2","",""
"108","3698","105","他能夠讓devices之間的data transfer不需要透過cpu的幫助，比如能夠讓hard drives、sound cards、network cards直接access memory。讓devices之間不需要cpu介入就能夠高效傳輸資料，減少了cpu usage，大大提升了效率，使cpu能夠花費精力去做更多其他的事情","2.00","","2","",""
"109","3701","109","DMA is used to transfer data between I/O device and memory. By that, CPU doesn't waste time to transfer data.","2.00","","2","",""
"110","6557","90","Devices transfer data without involving the CPU, which makes less CPU utilization and faster data transfer.","2.00","","2","",""
"111","5100","131","some device can direct control other device's memory without ask cpu to handle it.","2.00","","2","",""
"112","6256","206","可以不用透過CPU, 直接讀寫記憶體","2.00","","2","",""
"113","3336","220","一個hardware device用來做 storage device 與 memory 之間的 data 傳輸，以此提高cpu utilization . ","2.00","","2","",""
"114","6259","208","其他 bus 上的裝置不透過 CPU 支援，直接存取記憶體。","2.00","","2","",""
"115","3725","147","let devices can access the data to and from main memory independently, without intervent of CPU, it can keep up efficiency of CPU and performance. ","2.00","","2","",""
"116","5123","160","讓I/O device不需要透過CPU就可以直接與memory傳輸data。","2.00","","2","",""
"117","5485","201","用於device寫入data，不須用CPU的介入，常用於大量data傳輸速度快","2.00","","2","",""
"118","5124","108","DMA 可以在做 I/O 時幫助 translate between logical address and physical address. 並且不需要 CPU 介入","2.00","","2","",""
"119","5125","180","it describes the relation between memory and device. DMA means device can access the memory directly. no need to pass processor.","2.00","","2","",""
"120","5948","162","是指我可以直接存取Memory不需要透過CPU,例如某程式在執行過程中如果有一個I/O需求,會透過O.S.發出一個interrupt 告訴CPU他要的資料,CPU會直接透過disk 中的general register 將I/O需求完成並送到記憶體中,之後只要發出一個interrupt告訴O.S.他完成了,這樣可以增加CPU的使用率","2.00","","1.5","開頭描述正確，但後續舉例描述的是 PIO (CPU 親自搬資料) 而非 DMA 流程",""
"121","2615","222","DMA is when a seperate entity like a drive can directly access the memory without the help of OS, this can decrease CPU load and result in a more efficient system.","2.00","","2","",""
"122","4405","167","device可以直接access到memory，不需要CPU介入，可節省CPU資源","2.00","","2","",""
"123","6590","213","the device can access the memory without using CPU","2.00","","2","",""
