username,total_ai_score,total_max,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17
313513051,49.0,51,1.0,2.0,2.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0
313513056,33.5,51,,2.0,2.0,3.0,4.0,1.0,0.0,3.0,2.5,3.0,3.0,1.0,3.0,0.0,2.0,,4.0,0.0
313513114,22.5,51,,1.0,,4.0,,,1.0,1.0,2.5,3.0,2.0,,3.0,1.0,2.0,,2.0,
313513123,35.5,51,1.0,2.0,0.0,3.0,4.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,0.5,2.0,2.0,3.0,0.0
313551025,38.0,51,,1.0,2.0,4.0,4.0,2.0,,3.0,3.0,3.0,1.0,3.0,3.0,,3.0,2.0,4.0,
313551113,16.5,51,,1.0,1.0,4.0,,2.0,0.0,1.0,,3.0,2.0,,,0.5,2.0,0.0,,0.0
313551130,28.5,51,,2.0,2.0,3.0,,3.0,1.0,3.0,2.5,3.0,3.0,,,2.0,2.0,2.0,,
313551148,37.5,51,,2.0,1.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,0.5,1.0,2.0,4.0,0.0
313551152,38.5,51,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.5,3.0,3.0,2.0,3.0,1.0,2.0,1.0,4.0,0.0
313552016,38.0,51,,1.0,2.0,4.0,2.0,0.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,4.0,2.0
313552031,40.5,51,1.0,0.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0.5,1.0,2.0,3.0,2.0
313553036,18.0,51,0.0,0.0,1.0,4.0,0.0,,,,2.5,0.0,2.0,3.0,,1.5,,0.0,4.0,0.0
313554028,43.5,51,,2.0,2.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,1.5,2.0,2.0,4.0,0.0
313554060,42.5,51,,1.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,0.5,2.0,2.0,4.0,2.0
313560009,8.0,51,,0.0,,4.0,,2.0,0.0,,1.0,,,1.0,,0.0,,0.0,,
313581026,37.0,51,,2.0,1.0,3.0,4.0,3.0,0.0,3.0,2.5,3.0,2.0,2.0,3.0,0.5,3.0,1.0,4.0,0.0
313605010,46.5,51,1.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,0.5,2.0,2.0,4.0,2.0
314264019,28.5,51,1.0,2.0,1.0,4.0,2.0,3.0,1.0,0.0,3.0,3.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0
314511051,36.5,51,,1.0,2.0,4.0,4.0,2.0,1.0,3.0,2.5,3.0,,3.0,3.0,1.0,1.0,2.0,2.0,2.0
314511055,37.5,51,,2.0,2.0,4.0,4.0,3.0,,3.0,2.5,3.0,3.0,0.0,3.0,1.0,2.0,1.0,4.0,0.0
314512028,48.0,51,1.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,0.0
314512029,39.5,51,,2.0,2.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,0.5,2.0,2.0,4.0,
314512031,38.5,51,0.0,2.0,2.0,3.0,4.0,3.0,1.0,3.0,2.5,3.0,3.0,0.0,3.0,1.0,2.0,2.0,4.0,0.0
314512049,31.5,51,,2.0,2.0,3.0,4.0,3.0,,3.0,2.5,3.0,2.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0
314512052,33.0,51,,2.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,0.0,3.0,0.0,,1.0,4.0,2.0
314512062,25.0,51,,2.0,2.0,,2.0,3.0,,3.0,2.5,,2.0,1.0,0.0,0.5,3.0,0.0,4.0,
314512063,29.0,51,,2.0,1.0,4.0,2.0,3.0,,3.0,1.0,3.0,2.0,,3.0,1.0,0.0,0.0,4.0,
314512064,47.0,51,2.0,2.0,2.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0
314512080,47.5,51,,2.0,2.0,4.0,4.0,3.0,3.0,3.0,2.5,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0
314512082,49.0,51,2.0,2.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,4.0,2.0
314512087,25.0,51,,1.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,3.0,,,3.0,,2.0,,,2.0
314513005,45.5,51,1.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,2.5,3.0,3.0,3.0,3.0,1.0,3.0,2.0,4.0,0.0
314513016,40.0,51,,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,1.0,2.0,1.0,4.0,0.0
314513023,34.0,51,,2.0,1.0,4.0,4.0,3.0,,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,,,
314513037,42.0,51,,2.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,1.0,3.0,1.0,3.0,2.0
314513047,50.5,51,2.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,2.5,3.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0
314513110,43.5,51,,2.0,2.0,4.0,4.0,3.0,2.0,3.0,2.5,3.0,3.0,3.0,3.0,1.0,2.0,2.0,4.0,0.0
314513113,34.0,51,,2.0,2.0,3.0,4.0,3.0,,3.0,2.5,3.0,,,3.0,0.5,3.0,1.0,4.0,
3145140301,46.0,51,2.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,0.0
314540048,42.0,51,0.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0
314540053,33.5,51,1.0,0.0,2.0,0.0,2.0,3.0,,3.0,2.5,3.0,3.0,1.0,0.0,2.0,3.0,2.0,4.0,2.0
314551026,48.5,51,2.0,2.0,2.0,4.0,4.0,3.0,3.0,2.0,2.5,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0
314551123,40.0,51,2.0,2.0,2.0,4.0,4.0,3.0,,2.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,4.0,0.0
314551149,31.0,51,,1.0,2.0,4.0,2.0,3.0,0.0,3.0,2.0,3.0,,2.0,3.0,0.0,1.0,2.0,3.0,0.0
314551157,43.0,51,0.0,2.0,2.0,4.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,0.0
314551170,21.5,51,2.0,0.0,0.0,4.0,2.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,1.5,1.0,1.0,1.0,0.0
314551180,35.0,51,1.0,0.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,4.0,0.0
314552003,40.5,51,2.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,2.5,1.0,1.0,3.0,3.0,1.0,2.0,2.0,4.0,0.0
314552025,38.5,51,2.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,0.5,0.0,2.0,4.0,0.0
314552037,44.0,51,1.0,2.0,2.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,0.0
314552038,39.0,51,0.0,2.0,2.0,4.0,4.0,3.0,0.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,4.0,0.0
314552046,40.0,51,,1.0,2.0,4.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,4.0,0.0
314552050,26.0,51,,2.0,2.0,4.0,,1.0,,3.0,2.5,3.0,2.0,,3.0,0.5,2.0,1.0,0.0,0.0
314553041,37.5,51,,1.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,0.5,2.0,2.0,4.0,0.0
314554031,33.5,51,,2.0,1.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,0.0,,3.0,0.5,3.0,0.0,4.0,0.0
314554038,43.5,51,,2.0,2.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,0.5,2.0,2.0,4.0,
314554048,10.5,51,,,,,2.0,2.0,,,2.5,3.0,,,0.0,,1.0,,,
314554054,44.5,51,2.0,2.0,2.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,0.5,2.0,2.0,4.0,0.0
314554056,35.5,51,,2.0,2.0,4.0,1.0,3.0,1.0,1.0,2.5,3.0,3.0,1.0,3.0,1.0,1.0,1.0,4.0,2.0
314560004,46.0,51,0.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,4.0,0.0
314605003,40.5,51,1.0,2.0,2.0,0.0,4.0,3.0,1.0,1.0,2.5,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0
314605013,32.0,51,,2.0,1.0,4.0,2.0,3.0,0.0,1.0,3.0,3.0,0.0,1.0,3.0,1.0,2.0,2.0,4.0,0.0
314611104,28.5,51,,1.0,2.0,4.0,3.0,1.0,1.0,1.0,2.5,3.0,1.0,0.0,3.0,1.0,2.0,0.0,3.0,0.0
314611106,25.5,51,,1.0,1.0,4.0,3.0,1.0,1.0,0.0,3.0,3.0,2.0,2.0,1.0,1.5,,1.0,1.0,0.0
314611116,30.0,51,,2.0,1.0,3.0,4.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,3.0,0.0,1.0,
314706012,43.0,51,1.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0,2.0,4.0,2.0
314706016,43.0,51,,2.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,4.0,0.0
314706032,35.5,51,2.0,2.0,2.0,4.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,3.0,3.0,0.5,2.0,1.0,4.0,0.0
412551033,30.0,51,1.0,2.0,2.0,4.0,2.0,3.0,0.0,2.0,3.0,3.0,1.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0
413551015,34.0,51,0.0,1.0,1.0,4.0,2.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,1.0,3.0,0.0,4.0,0.0
413551039,20.0,51,1.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0
414551013,47.0,51,1.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,4.0,2.0
414551015,34.0,51,2.0,2.0,1.0,4.0,4.0,0.0,1.0,,3.0,0.0,3.0,3.0,3.0,1.0,3.0,2.0,2.0,0.0
414551016,35.0,51,2.0,2.0,2.0,4.0,1.0,0.0,1.0,3.0,3.0,0.0,3.0,3.0,3.0,1.0,3.0,2.0,2.0,0.0
A114004,35.0,51,,2.0,2.0,4.0,4.0,1.0,,2.0,2.0,3.0,3.0,,3.0,1.0,3.0,2.0,3.0,0.0
A131206,12.5,51,,,,,1.0,3.0,,,2.5,,,2.0,,,2.0,,2.0,
A141024,34.5,51,2.0,0.0,1.0,4.0,4.0,1.0,0.0,2.0,1.0,3.0,3.0,2.0,3.0,0.5,2.0,2.0,4.0,0.0
A141058,23.5,51,,2.0,1.0,2.0,3.0,3.0,,1.0,2.5,3.0,0.0,,1.0,0.0,2.0,,3.0,
A141074,40.5,51,1.0,2.0,2.0,4.0,4.0,1.0,3.0,3.0,2.5,3.0,3.0,2.0,3.0,1.0,1.0,1.0,4.0,0.0
A141083,37.5,51,,2.0,1.0,3.0,4.0,3.0,,3.0,2.5,3.0,2.0,3.0,3.0,,2.0,2.0,4.0,0.0
A141087林哲勗,38.0,51,1.0,2.0,2.0,3.0,4.0,2.0,1.0,2.0,2.5,3.0,3.0,1.0,3.0,0.5,2.0,2.0,4.0,0.0
A141104,25.5,51,2.0,0.0,1.0,,,,3.0,1.0,1.0,3.0,2.0,1.0,2.0,1.5,3.0,2.0,3.0,0.0
A141108許智凱,43.0,51,2.0,2.0,2.0,3.0,4.0,2.0,1.0,3.0,2.5,3.0,3.0,3.0,3.0,0.5,2.0,1.0,4.0,2.0
A141177,38.5,51,,2.0,1.0,4.0,4.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,0.5,2.0,0.0,4.0,0.0
A142062,46.0,51,2.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,4.0,0.0
A142065,42.0,51,1.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,4.0,0.0
B142528,37.0,51,,2.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,0.0,2.0,3.0,,2.0,0.0,4.0,0.0
a141163,41.0,51,1.0,1.0,1.0,4.0,4.0,3.0,2.0,3.0,2.5,3.0,3.0,2.0,3.0,1.5,2.0,1.0,4.0,0.0
a142021,40.0,51,1.0,2.0,2.0,0.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,2.0
leon12082001,45.5,51,2.0,2.0,2.0,4.0,2.0,3.0,3.0,1.0,2.5,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0
trankhanhnhan,5.0,51,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,2.0,0.0
v111046,29.5,51,,2.0,1.0,4.0,4.0,3.0,0.0,0.0,2.5,3.0,2.0,2.0,3.0,1.0,2.0,,,0.0
詹子揚,38.5,51,,2.0,2.0,3.0,4.0,3.0,2.0,3.0,2.5,3.0,2.0,1.0,3.0,1.0,2.0,2.0,3.0,
邱英紘,17.0,51,,1.0,1.0,0.0,3.0,2.0,0.0,2.0,2.0,3.0,,1.0,1.0,,,1.0,,0.0
